pokedex_number,name,japanese_name,base_total,attack,defense,sp_attack,sp_defense,speed,hp,capture_rate,experience_growth,type1,type2,classification,generation,is_legendary,x,y
101,Electrode,Marumineマルマイン,490,50,70,80,80,150,60,60,1000000,electric,,Ball Pokémon,1,0,21.251983642578125,2.6945230960845947
102,Exeggcute,Tamatamaタマタマ,325,40,80,60,45,40,60,90,1250000,grass,psychic,Egg Pokémon,1,0,-1.6358708143234253,-20.238571166992188
103,Exeggutor,Nassyナッシー,530,105,85,125,75,45,95,45,1250000,grass,psychic,Coconut Pokémon,1,0,8.550606727600098,17.583154678344727
104,Cubone,Karakaraカラカラ,320,50,95,40,50,35,50,190,1000000,ground,,Lonely Pokémon,1,0,-14.679400444030762,-13.85741901397705
105,Marowak,Garagaraガラガラ,425,80,110,50,80,45,60,75,1000000,ground,fire,Bone Keeper Pokémon,1,0,-13.467569351196289,0.8245828747749329
106,Hitmonlee,Sawamularサワムラー,455,120,53,35,110,87,50,45,1000000,fighting,,Kicking Pokémon,1,0,-27.04500961303711,4.811853408813477
107,Hitmonchan,Ebiwalarエビワラー,455,105,79,35,110,76,50,45,1000000,fighting,,Punching Pokémon,1,0,-26.169878005981445,4.454728126525879
108,Lickitung,Beroringaベロリンガ,385,55,75,60,75,30,90,45,1000000,normal,,Licking Pokémon,1,0,-5.706813812255859,11.283919334411621
109,Koffing,Dogarsドガース,340,65,95,60,45,35,40,190,1000000,poison,,Poison Gas Pokémon,1,0,-13.796520233154297,-12.63497257232666
110,Weezing,Matadogasマタドガス,490,90,120,85,70,60,65,60,1000000,poison,,Poison Gas Pokémon,1,0,-18.570676803588867,10.706496238708496
111,Rhyhorn,Sihornサイホーン,345,85,95,30,30,25,80,120,1250000,ground,rock,Spikes Pokémon,1,0,-18.99291229248047,-14.612480163574219
112,Rhydon,Sidonサイドン,485,130,120,45,45,40,105,60,1250000,ground,rock,Drill Pokémon,1,0,-22.75645637512207,16.319215774536133
113,Chansey,Luckyラッキー,450,5,5,35,105,50,250,30,800000,normal,,Egg Pokémon,1,0,30.319677352905273,3.595646858215332
114,Tangela,Monjaraモンジャラ,435,55,115,100,40,60,65,45,1000000,grass,,Vine Pokémon,1,0,3.889464855194092,17.340816497802734
115,Kangaskhan,Garuraガルーラ,590,125,100,60,100,100,105,45,1000000,normal,,Parent Pokémon,1,0,12.65913200378418,33.33662414550781
116,Horsea,Tattuタッツー,295,40,70,70,25,60,30,225,1000000,water,,Dragon Pokémon,1,0,6.920319557189941,-36.84901428222656
117,Seadra,Seadraシードラ,440,65,95,95,45,85,55,75,1000000,water,,Dragon Pokémon,1,0,4.396403789520264,16.798391342163086
118,Goldeen,Tosakintoトサキント,320,67,60,35,50,63,45,225,1000000,water,,Goldfish Pokémon,1,0,-6.5913214683532715,-16.532825469970703
119,Seaking,Azumaoアズマオウ,450,92,65,65,80,68,80,60,1000000,water,,Goldfish Pokémon,1,0,-4.550457954406738,4.876845359802246
120,Staryu,Hitodemanヒトデマン,340,45,55,70,55,85,30,225,1250000,water,,Starshape Pokémon,1,0,5.930315971374512,-38.836055755615234
121,Starmie,Starmieスターミー,520,75,85,100,85,115,60,60,1250000,water,psychic,Mysterious Pokémon,1,0,19.920671463012695,6.580742835998535
122,Mr. Mime,Barrierdバリヤード,460,45,65,100,120,90,40,45,1000000,psychic,fairy,Barrier Pokémon,1,0,7.711061000823975,23.136877059936523
123,Scyther,Strikeストライク,500,110,80,55,80,105,70,45,1000000,bug,flying,Mantis Pokémon,1,0,4.961658954620361,5.215305328369141
124,Jynx,Rougelaルージュラ,455,50,35,115,95,95,65,45,1000000,ice,psychic,Humanshape Pokémon,1,0,22.848682403564453,9.299134254455566
125,Electabuzz,Elebooエレブー,490,83,57,95,85,105,65,45,1000000,electric,,Electric Pokémon,1,0,17.33212661743164,8.42574691772461
126,Magmar,Booberブーバー,495,95,57,100,85,93,65,45,1000000,fire,,Spitfire Pokémon,1,0,16.74614143371582,9.126206398010254
127,Pinsir,Kailiosカイロス,600,155,120,65,90,105,65,45,1250000,bug,,Stagbeetle Pokémon,1,0,14.950026512145996,35.519901275634766
128,Tauros,Kentaurosケンタロス,490,100,95,40,70,110,75,45,1250000,normal,,Wild Bull Pokémon,1,0,3.28226900100708,5.334182262420654
129,Magikarp,Koikingコイキング,200,10,55,15,20,80,20,255,1250000,water,,Fish Pokémon,1,0,-3.0545597076416016,-41.69248580932617
130,Gyarados,Gyaradosギャラドス,640,155,109,70,130,81,95,45,1250000,water,flying,Atrocious Pokémon,1,0,16.171714782714844,33.905460357666016
131,Lapras,Laplaceラプラス,535,85,80,85,95,60,130,45,1250000,water,ice,Transport Pokémon,1,0,-1.6748684644699097,15.742799758911133
132,Ditto,Metamonメタモン,288,48,48,48,48,48,48,35,1000000,normal,,Transform Pokémon,1,0,-3.3823118209838867,-29.214704513549805
133,Eevee,Eievuiイーブイ,325,55,50,45,65,55,55,45,1000000,normal,,Evolution Pokémon,1,0,-1.4308831691741943,-28.223697662353516
134,Vaporeon,Showersシャワーズ,525,65,60,110,95,65,130,45,1000000,water,,Bubble Jet Pokémon,1,0,-0.4129718840122223,16.183324813842773
135,Jolteon,Thundersサンダース,525,65,60,110,95,130,65,45,1000000,electric,,Lightning Pokémon,1,0,21.105255126953125,8.95493221282959
136,Flareon,Boosterブースター,525,130,60,95,110,65,65,45,1000000,fire,,Flame Pokémon,1,0,10.908446311950684,19.717741012573242
137,Porygon,Porygonポリゴン,395,60,70,85,75,40,65,45,1000000,normal,,Virtual Pokémon,1,0,-4.822675704956055,0.5674211978912354
138,Omanyte,Omniteオムナイト,355,40,100,90,55,35,35,45,1000000,rock,water,Spiral Pokémon,1,0,-12.053800582885742,-10.485444068908691
139,Omastar,Omstarオムスター,495,60,125,115,70,55,70,45,1000000,rock,water,Spiral Pokémon,1,0,3.6351687908172607,18.812950134277344
140,Kabuto,Kabutoカブト,355,80,90,55,45,55,30,45,1000000,rock,water,Shellfish Pokémon,1,0,-12.847360610961914,-13.567008972167969
141,Kabutops,Kabutopsカブトプス,495,115,105,65,70,80,60,45,1000000,rock,water,Shellfish Pokémon,1,0,-19.09381675720215,19.365375518798828
142,Aerodactyl,Pteraプテラ,615,135,85,70,95,150,80,45,1250000,rock,flying,Fossil Pokémon,1,0,11.79168701171875,35.59706115722656
143,Snorlax,Kabigonカビゴン,540,110,65,65,110,30,160,25,1250000,normal,,Sleeping Pokémon,1,0,-7.956388473510742,13.037199974060059
144,Articuno,Freezerフリーザー,580,85,100,95,125,85,90,3,1250000,ice,flying,Freeze Pokémon,1,1,8.38158893585205,27.85647964477539
145,Zapdos,Thunderサンダー,580,90,85,125,90,100,90,3,1250000,electric,flying,Electric Pokémon,1,1,20.000444412231445,16.351198196411133
146,Moltres,Fireファイヤー,580,100,90,125,85,90,90,3,1250000,fire,flying,Flame Pokémon,1,1,18.582901000976562,19.99677085876465
147,Dratini,Miniryuミニリュウ,300,64,45,50,50,50,41,45,1250000,dragon,,Dragon Pokémon,1,0,-5.458472728729248,-30.072704315185547
148,Dragonair,Hakuryuハクリュー,420,84,65,70,70,70,61,45,1250000,dragon,,Dragon Pokémon,1,0,0.1390002816915512,-1.1112468242645264
149,Dragonite,Kairyuカイリュー,600,134,95,100,100,80,91,45,1250000,dragon,flying,Dragon Pokémon,1,0,16.88755989074707,31.01978874206543
150,Mewtwo,Mewtwoミュウツー,780,150,70,194,120,140,106,3,1250000,psychic,,Genetic Pokémon,1,1,24.91327667236328,25.921737670898438
151,Mew,Mewミュウ,600,100,100,100,100,100,100,45,1059860,psychic,,New Species Pokémon,1,1,12.443668365478516,27.402612686157227
152,Chikorita,Chicoritaチコリータ,318,49,65,49,65,45,45,45,1059860,grass,,Leaf Pokémon,2,0,-2.341034173965454,-23.19921112060547
153,Bayleef,Bayleafベイリーフ,405,62,80,63,80,60,60,45,1059860,grass,,Leaf Pokémon,2,0,-7.072344779968262,-1.3728405237197876
154,Meganium,Meganiumメガニウム,525,82,100,83,100,80,80,45,1059860,grass,,Herb Pokémon,2,0,9.190849304199219,25.694244384765625
155,Cyndaquil,Hinoarashiヒノアラシ,309,52,43,60,50,65,39,45,1059860,fire,,Fire Mouse Pokémon,2,0,3.8571293354034424,-33.995697021484375
156,Quilava,Magmarashiマグマラシ,405,64,58,80,65,80,58,45,1059860,fire,,Volcano Pokémon,2,0,14.146709442138672,-2.5135068893432617
157,Typhlosion,Bakphoonバクフーン,534,84,78,109,85,100,78,45,1059860,fire,,Volcano Pokémon,2,0,19.178884506225586,12.854846954345703
158,Totodile,Waninokoワニノコ,314,65,64,44,48,43,50,45,1059860,water,,Big Jaw Pokémon,2,0,-6.708219528198242,-23.5295467376709
159,Croconaw,Alligatesアリゲイツ,405,80,80,59,63,58,65,45,1059860,water,,Big Jaw Pokémon,2,0,-8.303593635559082,1.6797393560409546
160,Feraligatr,Ordileオーダイル,530,105,100,79,83,78,85,45,1059860,water,,Big Jaw Pokémon,2,0,-7.907714366912842,18.17279815673828
161,Sentret,Otachiオタチ,215,46,34,35,45,20,35,255,1000000,normal,,Scout Pokémon,2,0,-11.806575775146484,-38.57503128051758
162,Furret,Ootachiオオタチ,415,76,64,45,55,90,85,90,1000000,normal,,Long Body Pokémon,2,0,1.5769987106323242,-6.468273639678955
163,Hoothoot,Hohoホーホー,262,30,30,36,56,50,60,255,1000000,normal,flying,Owl Pokémon,2,0,-7.751486778259277,-41.698246002197266
164,Noctowl,Yorunozukuヨルノズク,452,50,50,86,96,70,100,90,1000000,normal,flying,Owl Pokémon,2,0,-2.8079497814178467,22.10492515563965
165,Ledyba,Redibaレディバ,265,20,30,40,80,55,40,255,800000,bug,flying,Five Star Pokémon,2,0,7.016305446624756,-30.021259307861328
166,Ledian,Redianレディアン,390,35,50,55,110,85,55,90,800000,bug,flying,Five Star Pokémon,2,0,11.597430229187012,-29.025793075561523
167,Spinarak,Itomaruイトマル,250,60,40,40,40,30,40,255,800000,bug,poison,String Spit Pokémon,2,0,-10.82508373260498,-35.81329345703125
168,Ariados,Ariadosアリアドス,400,90,70,60,70,40,70,90,800000,bug,poison,Long Leg Pokémon,2,0,-8.341538429260254,3.9041502475738525
169,Crobat,Crobatクロバット,535,90,80,70,80,130,85,90,1000000,poison,flying,Bat Pokémon,2,0,11.227742195129395,5.142792224884033
170,Chinchou,Chonchieチョンチー,330,38,38,56,56,67,75,190,1250000,water,electric,Angler Pokémon,2,0,10.83529281616211,-35.279380798339844
171,Lanturn,Lanternランターン,460,58,58,76,76,67,125,75,1250000,water,electric,Light Pokémon,2,0,-2.0674641132354736,13.172228813171387
172,Pichu,Pichuピチュー,205,40,15,35,35,60,20,190,1000000,electric,,Tiny Mouse Pokémon,2,0,-6.214964389801025,-42.82597351074219
173,Cleffa,Pyピィ,218,25,28,45,55,15,50,150,800000,fairy,,Star Shape Pokémon,2,0,-12.083298683166504,-44.08177947998047
174,Igglybuff,Pupurinププリン,210,30,15,40,20,15,90,170,800000,normal,fairy,Balloon Pokémon,2,0,-16.9057674407959,-35.36268615722656
175,Togepi,Togepyトゲピー,245,20,65,40,65,20,35,190,800000,fairy,,Spike Ball Pokémon,2,0,0.3346962034702301,-25.52203941345215
176,Togetic,Togechickトゲチック,405,40,85,80,105,40,55,75,800000,fairy,flying,Happiness Pokémon,2,0,-10.737059593200684,-2.748098850250244
177,Natu,Natyネイティ,320,50,45,70,45,70,40,190,1000000,psychic,flying,Little Bird Pokémon,2,0,4.967652797698975,-35.220497131347656
178,Xatu,Natioネイティオ,470,75,70,95,70,95,65,75,1000000,psychic,flying,Mystic Pokémon,2,0,15.470279693603516,4.306262493133545
179,Mareep,Merriepメリープ,280,40,40,65,45,35,55,235,1059860,electric,,Wool Pokémon,2,0,5.411501884460449,-24.32826805114746
180,Flaaffy,Mokokoモココ,365,55,55,80,60,45,70,120,1059860,electric,,Wool Pokémon,2,0,3.162468910217285,-18.492900848388672
181,Ampharos,Denryuデンリュウ,610,95,105,165,110,45,90,45,1059860,electric,,Light Pokémon,2,0,15.129502296447754,22.79104232788086
182,Bellossom,Kireihanaキレイハナ,490,80,95,90,100,50,75,45,1059860,grass,,Flower Pokémon,2,0,-16.0226993560791,6.034226417541504
183,Marill,Marilマリル,250,20,50,20,50,40,70,190,800000,water,fairy,Aquamouse Pokémon,2,0,-17.536090850830078,-38.8865852355957
184,Azumarill,Marilliマリルリ,420,50,80,60,80,50,100,75,800000,water,fairy,Aquarabbit Pokémon,2,0,-5.107626438140869,12.918734550476074
185,Sudowoodo,Usokkieウソッキー,410,100,115,30,65,30,70,65,1000000,rock,,Imitation Pokémon,2,0,-19.01642417907715,-10.788922309875488
