university_name,country
University of Adelaide,Australia
University of Southern California,United States of America
William & Mary,United States of America
Trinity College Dublin,Republic of Ireland
King’s College London,United Kingdom
Stony Brook University,United States of America
Korea Advanced Institute of Science and Technology (KAIST),South Korea
University of Sussex,United Kingdom
The University of Queensland,Australia
University of York,United Kingdom
Heidelberg University,Germany
University of Utah,United States of America
Durham University,United Kingdom
London School of Economics and Political Science,United Kingdom
University of Manchester,United Kingdom
"Royal Holloway, University of London",United Kingdom
Lund University,Sweden
University of Southampton,United Kingdom
University of Zurich,Switzerland
Wake Forest University,United States of America
McMaster University,Canada
University College Dublin,Republic of Ireland
George Washington University,United States of America
University of Arizona,United States of America
University of Basel,Switzerland
"University of Maryland, College Park",United States of America
Dartmouth College,United States of America
École Normale Supérieure de Lyon,France
Technical University of Munich,Germany
University of Helsinki,Finland
University of St Andrews,United Kingdom
Rensselaer Polytechnic Institute,United States of America
"Rutgers, the State University of New Jersey",United States of America
Purdue University,United States of America
National Tsing Hua University,Taiwan
University of Cape Town,South Africa
Pennsylvania State University,United States of America
Seoul National University,South Korea
Hong Kong Baptist University,Hong Kong
Bilkent University,Turkey
Tokyo Institute of Technology,Japan
Eindhoven University of Technology,Netherlands
National Taiwan University,Taiwan
University of Hawai’i at Mānoa,United States of America
"University of California, Riverside",United States of America
University of Geneva,Switzerland
KU Leuven,Belgium
Nanjing University,China
Queen Mary University of London,United Kingdom
Michigan State University,United States of America
Technical University of Denmark,Denmark
Ghent University,Belgium
Lancaster University,United Kingdom
Leiden University,Netherlands
University of Alberta,Canada
University of Glasgow,United Kingdom
Stockholm University,Sweden
Osaka University,Japan
University of Victoria,Canada
Tohoku University,Japan
University of Freiburg,Germany
University of Iowa,United States of America
University of Bergen,Norway
University of Lausanne,Switzerland
University of Sheffield,United Kingdom
University of Montreal,Canada
VU University Amsterdam,Netherlands
Pierre and Marie Curie University,France
University of Dundee,United Kingdom
University of Barcelona,Spain
Utrecht University,Netherlands
Wageningen University and Research Center,Netherlands
University of Auckland,New Zealand
University of Birmingham,United Kingdom
Alexandria University,Egypt
Uppsala University,Sweden
Hong Kong Polytechnic University,Hong Kong
University of Aberdeen,United Kingdom
Delft University of Technology,Netherlands
"Birkbeck, University of London",United Kingdom
Newcastle University,United Kingdom
University of New South Wales,Australia
Pompeu Fabra University,Spain
Indiana University,United States of America
Iowa State University,United States of America
Georgia Health Sciences University,United States of America
Erasmus University Rotterdam,Netherlands
University of Delaware,United States of America
Arizona State University,United States of America
Boston College,United States of America
National Sun Yat-Sen University,Taiwan
Georgetown University,United States of America
University of Amsterdam,Netherlands
University of Liverpool,United Kingdom
Aarhus University,Denmark
University of Leeds,United Kingdom
University of Würzburg,Germany
University of Groningen,Netherlands
Sun Yat-sen University,China
Goethe University Frankfurt,Germany
Bielefeld University,Germany
Nanyang Technological University,Singapore
University of East Anglia,United Kingdom
University of Nottingham,United Kingdom
University of Copenhagen,Denmark
Humboldt University of Berlin,Germany
Monash University,Australia
University of Bonn,Germany
National Chiao Tung University,Taiwan
RWTH Aachen University,Germany
Middle East Technical University,Turkey
University of Exeter,United Kingdom
University of Twente,Netherlands
University of Konstanz,Germany
Karlsruhe Institute of Technology,Germany
University of Innsbruck,Austria
University of Tübingen,Germany
Drexel University,United States of America
University of Cincinnati,United States of America
Yonsei University,South Korea
Dalhousie University,Canada
KTH Royal Institute of Technology,Sweden
University of Vienna,Austria
Kent State University,United States of America
University of Illinois at Chicago,United States of America
Zhejiang University,China
Simon Fraser University,Canada
Swedish University of Agricultural Sciences,Sweden
University of Wisconsin-Madison,United States of America
University of Texas at Austin,United States of America
University of Rochester,United States of America
University of Bern,Switzerland
Hebrew University of Jerusalem,Israel
University of Florida,United States of America
Brandeis University,United States of America
Chinese University of Hong Kong,Hong Kong
Free University of Berlin,Germany
University of Warwick,United Kingdom
Radboud University Nijmegen,Netherlands
Medical University of South Carolina,United States of America
Texas A&M University,United States of America
University of Reading,United Kingdom
Tel Aviv University,Israel
Paris Diderot University – Paris 7,France
Université Catholique de Louvain,Belgium
University of Miami,United States of America
Queen’s University,Canada
University of São Paulo,Brazil
University of Oslo,Norway
University of Ottawa,Canada
University of Western Australia,Australia
City University of Hong Kong,Hong Kong
Maastricht University,Netherlands
University of Leicester,United Kingdom
Paris-Sud University,France
University of Texas at Dallas,United States of America
Joseph Fourier University,France
Colorado School of Mines,United States of America
University of Antwerp,Belgium
Technion Israel Institute of Technology,Israel
University at Buffalo,United States of America
Université Libre de Bruxelles,Belgium
Northeastern University,United States of America
Mines ParisTech,France
Florida Institute of Technology,United States of America
Boğaziçi University,Turkey
Scuola Normale Superiore di Pisa,Italy
TU Dresden,Germany
Sungkyunkwan University (SKKU),South Korea
Istanbul Technical University,Turkey
Syracuse University,United States of America
Sabancı University,Turkey
Fudan University,China
Lomonosov Moscow State University,Russian Federation
"St George’s, University of London",United Kingdom
University of Mannheim,Germany
University of Erlangen-Nuremberg,Germany
University of Münster,Germany
Autonomous University of Barcelona,Spain
University of Cologne,Germany
University of Waterloo,Canada
University of Gothenburg,Sweden
Scuola Superiore Sant’Anna,Italy
Cardiff University,United Kingdom
Ulm University,Germany
University of Luxembourg,Luxembourg
Charité - Universitätsmedizin Berlin,Germany
University of Trento,Italy
Queen’s University Belfast,United Kingdom
