Institution,Country
University Paris Sud (Paris XI),France
University Blaise Pascal - Clermont-Ferrand II,France
University of Caen Normandy,France
CentraleSupelec,France
University of Rennes I,France
University of Burgundy,France
University Pantheon-Sorbonne (Paris I),France
Sorbonne University,France
IMT Atlantique,France
University Paris Nord (Paris XIII),France
University Clermont Auvergne,France
University Rene Descartes (Paris V),France
PSL Research University Paris,France
Ecole Centrale de Nantes,France
University of Montpellier,France
University of Bordeaux,France
Aix-Marseille University,France
University Denis Diderot (Paris VII),France
Toulouse 1 University Capitole,France
University of Nantes,France
University of Cote d'Azur,France
Univ Paris Ouest Nanterre La Defense,France
Sciences Po - Paris,France
University of Burgundy Franche-Comte,France
Ecole Normale Superieure de Paris,France
Ecole Normale Superieure de Lyon,France
Ecole Normale Superieure de Cachan,France
Telecom Paris,France
American University of Paris,France
University of Lorraine,France
University of Nice-Sophia Antipolis,France
University of Technology of Compiegne,France
University Paris-Dauphine (Paris IX),France
Ecole Centrale de Lyon,France
University of Montpellier II,France
University Francois Rabelais de Tours,France
University of Lille,France
University Jean Moulin - Lyon III,France
University Pierre et Marie Curie (Paris VI),France
University Paris-Sorbonne (Paris IV),France
Ecole des Ponts ParisTech,France
Federal University of Toulouse Midi-Pyrenees,France
University Claude Bernard - Lyon I,France
University of Franche-Comte,France
Ecole Polytechnique,France
University Lille I,France
University of Cergy-Pontoise,France
Ivane Javakhishvili Tbilisi State University,Georgia
University of Bayreuth,Germany
University of Marburg,Germany
University of Potsdam,Germany
University of Hannover,Germany
University of Hohenheim,Germany
University of Stuttgart,Germany
University of Wurzburg,Germany
University of Giessen,Germany
University of Greifswald,Germany
University of Cologne,Germany
University of Passau,Germany
University of Gottingen,Germany
University of Mainz,Germany
Jacobs University,Germany
Hamburg University of Technology,Germany
Charite - University Medicine Berlin,Germany
University of Duisburg-Essen,Germany
Technical University of Berlin,Germany
University of Erlangen-Nurnberg,Germany
University of Mannheim,Germany
University of Bremen,Germany
University of Magdeburg,Germany
Kaiserslautern University of Technology,Germany
Technical University of Dortmund,Germany
University of Frankfurt am Main,Germany
Technical University of Darmstadt,Germany
University of Bielefeld,Germany
Technical University of Braunschweig,Germany
University of Kiel,Germany
University of Bochum,Germany
University of Freiburg,Germany
Technical University of Dresden,Germany
University of Siegen,Germany
University of Wuppertal,Germany
Technical University of Munchen,Germany
RWTH Aachen University,Germany
University of Konstanz,Germany
Karlsruhe Institute of Technology,Germany
University of Heidelberg,Germany
University of Paderborn,Germany
University of Munster,Germany
Ilmenau University of Technology,Germany
University of Ulm,Germany
University of Hamburg,Germany
University of Tubingen,Germany
Free University of Berlin,Germany
Humboldt University of Berlin,Germany
University of Bonn,Germany
University of Munchen,Germany
Chemnitz University of Technology,Germany
University of Ghana,Ghana
University of Ioannina,Greece
University of Thessaly,Greece
Aristotle University of Thessaloniki,Greece
Athens University of Economics and Business,Greece
Aegean University,Greece
University of Athens,Greece
National Technical University of Athens,Greece
University of Patras,Greece
University of Crete,Greece
Hong Kong Baptist University,Hong Kong
Chinese University of Hong Kong,Hong Kong
Hong Kong University of Science and Technology,Hong Kong
Hong Kong Polytechnic University,Hong Kong
University of Hong Kong,Hong Kong
City University of Hong Kong,Hong Kong
Central European University,Hungary
University of Szeged,Hungary
University of Pecs,Hungary
University of Debrecen,Hungary
Budapest University of Technology and Economics,Hungary
Eotvos Lorand University,Hungary
Corvinus University of Budapest,Hungary
Semmelweis University,Hungary
Reykjavik University,Iceland
University of Iceland,Iceland
Birla Institute of Technology and Science,India
Indian Institute of Technology - Patna,India
Indian Institute of Technology - Roorkee,India
Indian School of Mines,India
Banaras Hindu University,India
Savitribai Phule Pune University,India
Amrita Vishwa Vidyapeetham (Deemed University),India
University of Delhi,India
Indian Institute of Science Education and Research Kolkata,India
National Institute of Technology Tiruchirappalli,India
Panjab University,India
Indian Institute of Technology - Ropar,India
Indian Institute of Science,India
Jawaharlal Nehru University,India
Amity University,India
Indian Institute of Technology - Delhi,India
Indian Institute of Technology - Kanpur,India
Indian Institute of Technology - Madras,India
Andhra University,India
Aligarh Muslim University,India
Indian Institute of Technology Gandhinagar,India
University of Calcutta,India
Institute of Chemical Technology,India
Sathyabama University,India
JSS Academy of Higher Education and Research,India
Osmania University,India
National Institute of Technology Rourkela,India
Vellore Institute of Technology,India
SRM Institute Of Science and Technology ( Deemed University),India
SASTRA Deemed University,India
Indian Institute of Technology - Dhanbad,India
Indian Institute of Technology - Hyderabad,India
Indian Institute of Technology - Bhubaneswar,India
Indian Institute of Science Education and Research Pune,India
Indian Institute of Technology Indore,India
Indian Institute of Technology - Guwahati,India
Jadavpur University,India
Manipal University,India
Maharaja Sayajirao University of Baroda,India
Cochin University of Science and Technology,India
Tata Institute of Fundamental Research,India
University of Kerala,India
Thapar University,India
Acharya Nagarjuna University,India
Sri Venkateswara University,India
Indian Institute of Technology - Bombay,India
Pondicherry University,India
Indian Institute of Technology - Kharagpur,India
Tezpur University,India
Jamia Millia Islamia University,India
Annamalai University,India
Institute of Technology Bandung,Indonesia
Gadjah Mada University,Indonesia
University of Indonesia,Indonesia
Isfahan University of Medical Sciences,Iran
Azarbaijan Shahid Madani University,Iran
Imam Khomeini International University,Iran
Kurdistan University,Iran
K.N.Toosi University of Technology,Iran
Shahid Beheshti University,Iran
Mashhad University of Medical Sciences,Iran
Mazandaran University of Iran,Iran
Zanjan University,Iran
Tehran University of Medical Sciences,Iran
Kashan University,Iran
Isfahan University of Technology,Iran
University of Tehran,Iran
Shahid Beheshti University of Medical Sciences,Iran
Shiraz University of Technology,Iran
Iran University of Medical Sciences,Iran
Yasouj University,Iran
Tabriz University of Medical Sciences,Iran
Ferdowsi University of Mashhad,Iran
Islamic Azad University - Karaj,Iran
Yazd University,Iran
Isfahan University,Iran
Guilan University,Iran
Amirkabir University of Technology,Iran
Shiraz University,Iran
Sharif University of Technology,Iran
Iran University of Science and Technology Tehran,Iran
Babol Noshirvani University of Technology,Iran
University of Tabriz,Iran
University of Baghdad,Iraq
Royal College of Surgeons,Ireland
National University of Ireland - Maynooth,Ireland
National University of Ireland - Galway,Ireland
Dublin Institute of Technology,Ireland
University College Dublin,Ireland
University College Cork,Ireland
University of Limerick,Ireland
Royal College Surgeons in Ireland,Ireland
Trinity College Dublin,Ireland
Dublin City University,Ireland
University of Haifa,Israel
Ben-Gurion University of the Negev,Israel
Tel Aviv University,Israel
Bar-Ilan University,Israel
Hebrew University of Jerusalem,Israel
IDC Herzliya,Israel
Technion - Israel Institute of Technology,Israel
University of Catania,Italy
University of Calabria,Italy
University of Florence,Italy
Catholic University of the Sacred Heart,Italy
University of Brescia,Italy
University of Cagliari,Italy
University of Genoa,Italy
University of Palermo,Italy
University of Parma,Italy
University of Rome - Tor Vergata,Italy
University of Sassari,Italy
University of Siena,Italy
University of Salerno,Italy
University of Turin,Italy
University of Pavia,Italy
University of Trieste,Italy
University of Insubria,Italy
University of Aquila,Italy
University of Pisa,Italy
University of Bergamo,Italy
University of Trento,Italy
Marche Polytechnic University,Italy
Ca Foscari University of Venice,Italy
University of Modena,Italy
University of Ferrara,Italy
University of Urbino Carlo Bo,Italy
University of Milan - Bicocca,Italy
University of Padua,Italy
University of Milan,Italy
Free University of Bozen-Bolzano,Italy
University of Perugia,Italy
University of Salento,Italy
University of Naples Federico II,Italy
University of Bari,Italy
Polytechnic University of Turin,Italy
Sant'Anna School of Advanced Studies,Italy
Scuola Normale Superiore di Pisa,Italy
Vita-Salute San Raffaele University,Italy
Roma Tre University,Italy
University of Verona,Italy
Polytechnic University of Bari,Italy
Polytechnic University of Milan,Italy
University of Udine,Italy
University of Bologna,Italy
University of Rome - La Sapienza,Italy
University of Rome III,Italy
University of Eastern Piedmont,Italy
University of the West Indies - Mona,Jamaica
Sophia University,Japan
Jikei University School of Medicine,Japan
Osaka City University,Japan
Kochi University,Japan
Nagoya City University,Japan
Hiroshima University,Japan
Kyoto University,Japan
Nippon Medical School,Japan
Tokushima University,Japan
Teikyo Heisei University,Japan
Yamagata University,Japan
Rikkyo University (St. Paul's University),Japan
Osaka University,Japan
Keio University,Japan
Nagoya Institute of Technology,Japan
Yamanashi University,Japan
Tokai University,Japan
Hyogo College of Medicine,Japan
Saitama University,Japan
Osaka Prefecture University,Japan
Okayama University,Japan
Niigata University,Japan
Nagasaki University,Japan
Kyushu Institute of Technology,Japan
Kumamoto University,Japan
Kindai University,Japan
Juntendo University,Japan
Gifu University,Japan
Ehime University,Japan
Chiba University,Japan
St. Marianna University School of Medicine,Japan
Aichi Medical University,Japan
Muroran Institute of Technology,Japan
Nagoya University,Japan
Kurume University,Japan
Toyota Technological Institute,Japan
Showa University,Japan
Kanazawa University,Japan
Kyushu University,Japan
Tsukuba University,Japan
University of Occupational and Environmental Health - Japan,Japan
Hokkaido University,Japan
Tokyo Medical and Dental University,Japan
Toho University,Japan
Tokyo Institute of Technology,Japan
Sapporo Medical University,Japan
Kyoto Prefectural University of Medicine,Japan
Tokyo Metropolitan University,Japan
Shinshu University,Japan
Tokyo University of Agriculture and Technology,Japan
Tokushima Bunri University,Japan
Saitama Medical University,Japan
Chiba Institute of Technology,Japan
Chuo University,Japan
Doshisha University,Japan
Yamaguchi University,Japan
Gunma University,Japan
Kagawa University,Japan
Hosei University,Japan
Tokyo University of Science,Japan
The University of Tokyo,Japan
Fujita Health University,Japan
Iwate University,Japan
Utsunomiya University,Japan
Toyama University,Japan
Tokyo Denki University,Japan
Kansai University,Japan
Kwansei Gakuin University,Japan
Meiji University,Japan
Kobe University,Japan
Nagaoka University of Technology,Japan
Shizuoka University,Japan
Shimane University,Japan
Oita University,Japan
Shibaura Institute of Technology,Japan
University of Aizu,Japan
Tohoku University,Japan
Ritsumeikan University,Japan
Hamamatsu University School of Medicine,Japan
Waseda University,Japan
University of Tokyo,Japan
Yokohama National University,Japan
Yokohama City University,Japan
Tokyo City University (Musashi Institute of Technology),Japan
University of Electro-Communications,Japan
Shiga University of Medical Science,Japan
Saga University,Japan
Nara Medical University,Japan
Miyazaki University,Japan
Tokyo University of Marine Science and Technology,Japan
Kyoto Institute of Technology,Japan
Kitasato University,Japan
Mie University,Japan
Toyohashi University of Technology,Japan
Kagoshima University,Japan
Kansai Medical University,Japan
Tottori University,Japan
Hashemite University,Jordan
Jordan University,Jordan
Jordan University of Science and Technology,Jordan
Al-Balqa Applied University,Jordan
Al-Farabi Kazakh National University,Kazakhstan
University of Nairobi,Kenya
Kuwait University,Kuwait
Riga Technical University,Latvia
University of Latvia,Latvia
Saint Joseph University of Beirut,Lebanon
American University of Beirut,Lebanon
Lebanese American University,Lebanon
Kaunas University of Technology,Lithuania
Vilnius University,Lithuania
University of Luxembourg,Luxembourg
University of Macau,Macau
Macau University of Science and Technology,Macau
University of Putra Malaysia,Malaysia
University of Malaysia Perlis,Malaysia
University of Tenaga Nasional,Malaysia
National University of Malaysia,Malaysia
University of Technology - Malaysia,Malaysia
University of Utara Malaysia,Malaysia
University of Tunku Abdul Rahman,Malaysia
University of Science - Malaysia,Malaysia
University of Malaya,Malaysia
University of Technology - Petronas,Malaysia
University of Technology - Mara,Malaysia
University of Malta,Malta
University of Guadalajara,Mexico
Autonomous University of Nuevo Leon,Mexico
Metropolitan Autonomous University,Mexico
Monterrey Institute of Technology and Higher Education,Mexico
Autonomous University of Mexico State,Mexico
Meritorious Autonomous University of Puebla,Mexico
Autonomous University of Yucatan,Mexico
Autonomous University of Queretaro,Mexico
National Autonomous University of Mexico,Mexico
Mohammed V University,Morocco
Sidi Mohamed Ben Abdellah University,Morocco
Cadi Ayyad University,Morocco
Tribhuvan University Kathmandu,Nepal
Erasmus University Rotterdam,Netherlands
University of Groningen,Netherlands
University of Twente,Netherlands
University of Amsterdam,Netherlands
VU University Amsterdam,Netherlands
Eindhoven University of Technology,Netherlands
University of Maastricht,Netherlands
Delft University of Technology,Netherlands
Tilburg University,Netherlands
Radboud University of Nijmegen,Netherlands
Wageningen University & Research Center,Netherlands
Utrecht University,Netherlands
University of Leiden,Netherlands
University of Otago,New Zealand
Auckland University of Technology,New Zealand
University of Canterbury,New Zealand
University of Auckland,New Zealand
University of Waikato,New Zealand
Victoria University of Wellington,New Zealand
Lincoln University,New Zealand
Massey University,New Zealand
University of Ibadan,Nigeria
University of Lagos,Nigeria
Covenant University,Nigeria
Uit the Arctic University of Norway,Norway
University of Bergen,Norway
University of Oslo,Norway
Norwegian University of Science and Technology,Norway
University of Tromso,Norway
Norwegian University of Life Sciences,Norway
Sultan Qaboos University,Oman
COMSATS Institute Of Information Technology,Pakistan
International Islamic University Islamabad,Pakistan
University of the Punjab,Pakistan
Lahore University of Management Sciences,Pakistan
COMSATS University Islamabad,Pakistan
National University of Sciences and Technology - Islamabad,Pakistan
University of Lahore,Pakistan
University of Karachi,Pakistan
University of Agriculture Faisalabad,Pakistan
Bahauddin Zakariya University,Pakistan
Quaid-i-Azam University,Pakistan
Pontifical Catholic University of Peru,Peru
University Peruana Cayetano Heredia,Peru
De La Salle University,Philippines
University of the Philippines Manila,Philippines
University of Lodz,Poland
AGH University of Science and Technology,Poland
Warsaw University of Technology,Poland
Adam Mickiewicz University in Poznan,Poland
Nicolaus Copernicus University,Poland
Gdansk University of Technology,Poland
University of Wroclaw,Poland
University of Silesia,Poland
University of Warsaw,Poland
Jagiellonian University,Poland
University of Algarve,Portugal
University of Lisbon,Portugal
Instituto Superior Tecnico Lisboa,Portugal
University of Minho,Portugal
University of Coimbra,Portugal
ISCTE-University Institute of Lisbon,Portugal
Polytechnic Institute of Porto,Portugal
Catholic University of Portugal,Portugal
University of Tras-os-Montes e Alto Douro,Portugal
University of Porto,Portugal
University of Aveiro,Portugal
University of Evora,Portugal
New University of Lisbon,Portugal
University of Beira Interior,Portugal
University of Puerto Rico,Puerto Rico
University of Qatar,Qatar
Dublin Institute of Technology,Republic of Ireland
Iuliu Hatieganu University of Medicine and Pharmacy,Romania
Babes-Bolyai University,Romania
Grigore T. Popa University of Medicine and Pharmacy,Romania
Alexandru Ioan Cuza University,Romania
University of Bucharest,Romania
Bucharest University of Economic Studies,Romania
West University of Timisoara,Romania
Bauman Moscow State Technical University,Russia
St. Petersburg State Mining Institute (Technical University),Russia
Kazan Federal University,Russia
Novosibirsk State University,Russia
I.M. Sechenov First Moscow State Medical University,Russia
Higher School of Economics,Russia
National Research Nuclear University,Russia
St Petersburg State Politecnical University,Russia
Siberian Federal University,Russia
National Research University of Electronic Technology,Russia
National Research Saratov State University,Russia
Lobachevsky University,Russia
National University of Science and Technology MISiS,Russia
Southern Federal University,Russia
Tomsk Polytechnic University,Russia
Voronezh State University,Russia
Novosibirsk State Technical University,Russia
Ural Federal University,Russia
Saratov State University,Russia
Tomsk State University,Russia
Belgorod State National Research University,Russia
Samara University,Russia
Moscow State University,Russia
Moscow Institute of Physics and Technology,Russia
Samara State Aerospace University,Russia
Peoples' Friendship University of Russia,Russia
ITMO University,Russia
St. Petersburg State University,Russia
Imam Abdulrahman Bin Faisal University,Saudi Arabia
King Saud University,Saudi Arabia
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia
King Abdulaziz University,Saudi Arabia
Alfaisal University,Saudi Arabia
King Fahd University of Petroleum & Minerals,Saudi Arabia
King Khalid University,Saudi Arabia
University of Belgrade,Serbia
National University of Singapore,Singapore
Nanyang Technological University,Singapore
Technical University in Kosice,Slovakia
Comenius University in Bratislava,Slovakia
Slovak University of Technology,Slovakia
University of Ljubljana,Slovenia
University of Maribor,Slovenia
University of Johannesburg,South Africa
University of Pretoria,South Africa
University of the Western Cape,South Africa
University of Cape Town,South Africa
North-West University,South Africa
University of KwaZulu-Natal,South Africa
University of Stellenbosch,South Africa
University of Witwatersrand,South Africa
Tshwane University of Technology,South Africa
University of South Africa,South Africa
Yeungnam University,South Korea
Korea Advanced Institute of Science and Technology,South Korea
Korea University,South Korea
Yonsei University,South Korea
Sungkyunkwan University,South Korea
Kyung Hee University,South Korea
Pohang University of Science and Technology,South Korea
Seoul University,South Korea
Seoul National University,South Korea
Pusan National University,South Korea
Chung-Ang University,South Korea
Ulsan University,South Korea
Hallym University,South Korea
Hanyang University,South Korea
Gwangju Institute of Science and Technology,South Korea
Ewha Womans University,South Korea
Seoul National University of Science and Technology,South Korea
Sogang University,South Korea
Ulsan National Institute of Science and Technology,South Korea
Inha University,South Korea
Ajou University,South Korea
Chungnam National University,South Korea
Sejong University,South Korea
Chonbuk National University,South Korea
Konkuk University,South Korea
Chonnam National University,South Korea
Kyungpook National University,South Korea
University of La Laguna,Spain
University of Granada,Spain
University of Oviedo,Spain
University of Barcelona,Spain
Autonomous University of Barcelona,Spain
University of Salamanca,Spain
University of Santiago de Compostela,Spain
University Pablo de Olavide,Spain
University of La Coruna,Spain
University of Castilla La Mancha,Spain
University of the Basque Country,Spain
University of Burgos,Spain
University of Alcala de Henares,Spain
Technical University of Madrid,Spain
University of Malaga,Spain
University of Cordoba,Spain
University of Cadiz,Spain
University Carlos III de Madrid,Spain
University of Alicante,Spain
University of Almeria,Spain
University of Lleida,Spain
University of Seville,Spain
Complutense University of Madrid,Spain
Open University of Catalonia,Spain
University of Girona,Spain
University of Deusto,Spain
University of Las Palmas de Gran Canaria,Spain
Autonomous University of Madrid,Spain
Jaume I University,Spain
University of the Balearic Islands,Spain
Polytechnic University of Catalonia,Spain
Polytechnic University of Valencia,Spain
University of Zaragoza,Spain
University Rovira I Virgili Tarragona,Spain
University of Murcia,Spain
University Miguel Hernandez de Elche,Spain
University of Navarra,Spain
University of Jaen,Spain
University of Valencia,Spain
University Pompeu Fabra,Spain
University of Vigo,Spain
University Rey Juan Carlos,Spain
University of Peradeniya,Sri Lanka
University of Colombo,Sri Lanka
Karolinska Institute,Sweden
Orebro University,Sweden
KTH - Royal Institute of Technology,Sweden
Uppsala University,Sweden
Linkoping University,Sweden
Swedish University of Agricultural Sciences,Sweden
Chalmers University of Technology,Sweden
Lund University,Sweden
Umea University,Sweden
Stockholm University,Sweden
Karlstad University,Sweden
Goteborg University,Sweden
University of Basel,Switzerland
University of St.Gallen,Switzerland
University of Geneva,Switzerland
University of Lausanne,Switzerland
University of Fribourg,Switzerland
University of Lugano,Switzerland
University of Bern,Switzerland
University of Neuchatel,Switzerland
Swiss Federal Institute of Technology Lausanne - EPFL,Switzerland
University of Zurich,Switzerland
Swiss Federal Institute of Technology Zurich - ETHZ,Switzerland
National Central University,Taiwan
National Taiwan Ocean University,Taiwan
National Taiwan University of Science and Technology,Taiwan
Fu Jen Catholic University,Taiwan
National Yang-Ming University,Taiwan
National Taipei University of Technology,Taiwan
National Chung Hsing University - Taipei,Taiwan
National Chiao Tung University,Taiwan
National University of Tainan,Taiwan
National Cheng Kung University,Taiwan
I-Shou University,Taiwan
Taipei Medical University,Taiwan
National Taiwan Normal University,Taiwan
National Dong Hwa University,Taiwan
National Tsinghua University,Taiwan
Kaohsiung Medical University,Taiwan
Chang Gung University,Taiwan
National Sun Yat-Sen University,Taiwan
Chung Yuan Christian University,Taiwan
China Medical University - Taiwan,Taiwan
Feng Chia University,Taiwan
Yuan Ze University,Taiwan
National Taipei University,Taiwan
Tamkang University,Taiwan
Asia University,Taiwan
National Taiwan University,Taiwan
National Chengchi University,Taiwan
Ming Chuan University,Taiwan
National Chung Cheng University,Taiwan
King Mongkut's Institute of Technology Ladkrabang,Thailand
Suranaree University of Technology,Thailand
Mahidol University,Thailand
Kasetsart University,Thailand
King Mongkut's University of Technology Thonburi,Thailand
Chiang Mai University,Thailand
Mae Fah Luang University,Thailand
Chulalongkorn University,Thailand
Prince of Songkla University,Thailand
Khon Kaen University,Thailand
University of Tunis El Manar,Tunisia
University of Monastir,Tunisia
University of Sfax,Tunisia
Gebze Technical University,Turkey
Bilkent University,Turkey
Eastern Mediterranean University,Turkey
Ankara University,Turkey
Marmara University,Turkey
Koc University,Turkey
Anadolu University,Turkey
Istanbul Technical University,Turkey
Erciyes University,Turkey
Hacettepe University,Turkey
Yildiz Technical University,Turkey
Akdeniz University,Turkey
Cankaya University,Turkey
Gazi University Ankara,Turkey
Istanbul University,Turkey
Sabanci University,Turkey
Atilim University,Turkey
